eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197909220008,1979,9,22,,0,,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,4.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Police,station,92.0,India,,,,,,,,,,,,,,,,,People's Liberation Army (India),,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,4.0,,,0.0,,,1,,,,Damages: stole 15 rifles (police station),0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197912050003,1979,12,5,,0,,92,India,6,South Asia,Uttar Pradesh,Unknown,26.846709,80.946159,4.0,0,,,1,1,1,0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Opposition to Former P.M. Indira Gandhi,"Ijaya Raje Scindor, Leading Politician",92.0,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,8.0,,,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Revolvers,0.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197912120004,1979,12,12,,0,,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,4.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Legislative Assembly of India,"Ranbi Singh, Speaker of Legislative Assembly",92.0,India,,,,,,,,,,,,,,,,,Maoists,Separatist Guerrillas,,,,,,1.0,,,0,2.0,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197912200009,1979,12,20,,0,,92,India,6,South Asia,Bihar,Unknown,25.096074,85.313119,4.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Police,Post,92.0,India,,,,,,,,,,,,,,,,,Naxalites,,,,,,,0.0,,,0,4.0,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,5.0,Firearms,4.0,Rifle/Shotgun (non-automatic),5.0,Firearms,3.0,Handgun,,,,,Automatic firearm; Rifle; Pistol,3.0,,,1.0,,,1,4.0,Unknown,,"Damages: extent of damage unknown, stole 7 rifles and ammunition (police post)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198001010005,1980,1,1,,0,,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,1.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,I.C.P.,Communist Politician,92.0,India,,,,,,,,,,,,,,,,,Maoists,Separatist Guerrillas,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198001090004,1980,1,9,,0,,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,4.0,0,,,1,1,1,-9,,,0.0,1,0,2,Armed Assault,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",,Residence of Former State Minister,92.0,India,,,,,,,,,,,,,,,,,Maoists,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,5.0,Firearms,4.0,Rifle/Shotgun (non-automatic),5.0,Firearms,3.0,Handgun,,,,,Automatic firearm; Rifle; Pistol,2.0,,,4.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198003210002,1980,3,21,,0,,92,India,6,South Asia,Unknown,Chiaplant,,,5.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,8,Educational Institution,48.0,Teacher/Professor/Instructor,Unk,Teacher,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearms,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198003210009,1980,3,21,,0,,92,India,6,South Asia,Uttar Pradesh,Tindol,25.410833,78.739167,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,12,NGO,62.0,International NGO,,Border Roads Organization Construction Camp,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,8,Incendiary,,,5.0,Firearms,5.0,Unknown Gun Type,,,,,,,,,Incendiary; Firearms,4.0,,,3.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198004040001,1980,4,4,,0,,92,India,6,South Asia,West Bengal,Calcutta,22.551729,88.352341,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,,train,92.0,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,2.0,,,6.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198004250006,1980,4,25,,0,,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1.0,0,,,1,1,1,-9,,,0.0,1,0,1,Assassination,,,,,14,Private Citizens & Property,68.0,Named Civilian,Nirankari Sect,Baba Gurbachan Singh,92.0,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),6.0,Explosives,7.0,Grenade,,,,,,,,,Rifle; Grenade,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
